퀴즈 구분자,퀴즈 내용,퀴즈 정답
QuizID,QuizText,QuizAnswer
1,레몬의 신맛이 정신을 번쩍 들게 해 캐릭터의 공격속도를 증가시킨다는 연구 결과가 있다.,true
2,마법사들이 사용하는 플라스틱 지팡이는 몬스터들에 의해 자연 분해되도록 던전 내에 버리는 것을 권장한다.,false
3,연구 결과에 따르면 플라스틱의 마법 적응력이 높은 이유는 석유로부터 추출된 유기물의 잠재 마력이 마법과 반응하기 때문이라고 한다.,false
4,마법이 부여된 강철 장검의 제대로 된 취급 방법 중 하나는 '목에 걸지 않는 것'이다.,true
5,엑스칼리버를 찾는 알바생들이 지급 받는 보급형 통조림은 일할 때 먹을 게 가장 중요하다는 신념 하에 내노라하는 셰프들이 연구개발한 특식이다.,false
6,기사들에게 지급되는 보급용 창은 주로 참호나 장군님의 명으로 수영장을 만드는 등 땅을 파는 데 특화되어 있다.,true
7,보물상자로 위장하는 것은 마치 내가 보물이 된 것처럼 자존감을 높여주어 체력이 회복된다.,true
8,기계식 장궁의 독특한 생김새는 안전을 위해 온갖 기술의 정수가 들어간 것으로 이용자는 활을 아무렇게나 막 다루어도 아무 문제가 없다.,false
9,루비나 사파이어와 같은 보석을 장비에 끼울 수 없다.,true
10,"회복 포션의 내용물은 품질에 따라 초·중·상급으로 나뉜다.",false
